Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF;Residência em 31/07/2005, UF (código);Residência em 31/07/2005, UF (ordem);Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Frequência;Observações
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;72;8
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;82;8
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;PA, Para;15;14;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;PE, Pernambuco;26;17;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;106;10
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;71;8
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;RO, Rondônia;11;22;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;233;21
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;708;74
9235;Município (2010);4104204;CAMPO LARGO;11;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;676;66
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;PA, Para;15;14;Unidade da Federação / Município;1;1;74;6
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;122;13
9235;Município (2010);4104253;CAMPO MAGRO;12;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;172;19
9235;Município (2010);4105201;CERRO AZUL;13;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105201;CERRO AZUL;13;2010;8030;31/07/2010;PA, Para;15;14;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105201;CERRO AZUL;13;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105201;CERRO AZUL;13;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105201;CERRO AZUL;13;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;44;9
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;AL, Alagoas;27;2;Unidade da Federação / Município;1;1;86;7
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;AM, Amazonas;13;4;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;172;17
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;CE, Ceara;23;6;Unidade da Federação / Município;1;1;69;10
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;DF, Distrito Federal;53;7;Unidade da Federação / Município;1;1;122;10
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;ES, Espirito Santo;32;8;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;GO, Goias;52;9;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;MA, Maranhão;21;10;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;MT, Mato Grosso;51;11;Unidade da Federação / Município;1;1;285;26
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;MS, Mato Grosso do Sul;50;12;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;256;25
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;PA, Para;15;14;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;PB, Paraíba;25;15;Unidade da Federação / Município;1;1;153;19
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;PE, Pernambuco;26;17;Unidade da Federação / Município;1;1;98;15
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;PI, Piauí;22;18;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;166;15
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;152;15
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;RO, Rondônia;11;22;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;1056;102
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;2394;226
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;SE, Sergipe;28;26;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4105805;COLOMBO;14;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;1270;119
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;DF, Distrito Federal;53;7;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;ES, Espirito Santo;32;8;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;MG, Minas Gerais;31;13;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;PA, Para;15;14;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;RJ, Rio de Janeiro;33;19;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;RS, Rio Grande do Sul;43;21;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;SC, Santa Catarina;42;24;Unidade da Federação / Município;1;1;36;7
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;SP, São Paulo;35;25;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106209;CONTENDA;15;2010;8030;31/07/2010;Ignorado;88;88;Unidade da Federação / Município;1;1;32;6
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;AC, Acre;12;1;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;AL, Alagoas;27;2;Unidade da Federação / Município;1;1;308;16
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;AP, Amapá;16;3;Unidade da Federação / Município;1;1;X;X
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;AM, Amazonas;13;4;Unidade da Federação / Município;1;1;377;19
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;BA, Bahia;29;5;Unidade da Federação / Município;1;1;1775;84
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;CE, Ceara;23;6;Unidade da Federação / Município;1;1;702;32
9235;Município (2010);4106902;CURITIBA;16;2010;8030;31/07/2010;DF, Distrito Federal;53;7;Unidade da Federação / Município;1;1;1190;57
