Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;COLOMBO;4105805;4105805;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;CURITIBA;4106902;4106902;392;78
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;PINHAIS;4119152;4119152;69;13
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;QUATRO BARRAS;4120804;4120804;X;X
9235;Município (2010);4101200;ANTONINA;6;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;204;22
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;2969;278
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;BALSA NOVA;4102307;4102307;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;166;18
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;CAMPO MAGRO;4104253;4104253;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;41;6
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;COLOMBO;4105805;4105805;189;19
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;CONTENDA;4106209;4106209;139;12
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;CURITIBA;4106902;4106902;4419;415
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;344;33
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;LAPA;4113205;4113205;462;42
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;92;11
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;PINHAIS;4119152;4119152;78;9
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;QUITANDINHA;4121208;4121208;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;X;X
9235;Município (2010);4101804;ARAUCÁRIA;7;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;217;22
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;39;7
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;BALSA NOVA;4102307;4102307;171;36
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;X;X
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;699;135
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;X;X
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;COLOMBO;4105805;4105805;X;X
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;CURITIBA;4106902;4106902;189;42
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;ITAPERUÇU;4111258;4111258;X;X
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;LAPA;4113205;4113205;X;X
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;PINHAIS;4119152;4119152;X;X
9235;Município (2010);4102307;BALSA NOVA;8;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;BOCAIÚVA DO SUL;4103107;4103107;249;53
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;85;20
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;19;6
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;CAMPO MAGRO;4104253;4104253;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;CERRO AZUL;4105201;4105201;51;11
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;COLOMBO;4105805;4105805;163;32
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;CURITIBA;4106902;4106902;396;74
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;MANDIRITUBA;4114302;4114302;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;PINHAIS;4119152;4119152;87;16
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;QUITANDINHA;4121208;4121208;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;RIO BRANCO DO SUL;4122206;4122206;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;TUNAS DO PARANÁ;4127882;4127882;155;28
9235;Município (2010);4103107;BOCAIÚVA DO SUL;9;2010;8030;31/07/2010;DOUTOR ULYSSES;4128633;4128633;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;84;10
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;BOCAIÚVA DO SUL;4103107;4103107;173;18
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;CAMPINA GRANDE DO SUL;4104006;4104006;1054;110
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;CAMPO LARGO;4104204;4104204;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;COLOMBO;4105805;4105805;515;49
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;CONTENDA;4106209;4106209;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;CURITIBA;4106902;4106902;875;92
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;FAZENDA RIO GRANDE;4107652;4107652;62;6
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;LAPA;4113205;4113205;67;8
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;PINHAIS;4119152;4119152;180;16
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;PIRAQUARA;4119509;4119509;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;QUATRO BARRAS;4120804;4120804;246;22
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;SÃO JOSÉ DOS PINHAIS;4125506;4125506;132;13
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;TIJUCAS DO SUL;4127601;4127601;X;X
9235;Município (2010);4104006;CAMPINA GRANDE DO SUL;10;2010;8030;31/07/2010;TUNAS DO PARANÁ;4127882;4127882;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;CAMPO DO TENENTE;4104105;4104105;157;51
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;COLOMBO;4105805;4105805;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;CONTENDA;4106209;4106209;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;CURITIBA;4106902;4106902;121;43
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;LAPA;4113205;4113205;50;16
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;PIÊN;4119103;4119103;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;PINHAIS;4119152;4119152;X;X
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;QUITANDINHA;4121208;4121208;22;7
9235;Município (2010);4104105;CAMPO DO TENENTE;11;2010;8030;31/07/2010;RIO NEGRO;4122305;4122305;58;21
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;ADRIANÓPOLIS;4100202;4100202;X;X
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;ALMIRANTE TAMANDARÉ;4100400;4100400;X;X
9235;Município (2010);4104204;CAMPO LARGO;12;2010;8030;31/07/2010;ARAUCÁRIA;4101804;4101804;112;10
