Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Residência em 31/07/2005, município;Residência em 31/07/2005, município (código);Residência em 31/07/2005, município (ordem);Frequência;Observações
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Masculino;1;1;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Feminino;2;2;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Feminino;2;2;COLOMBO;4105805;4105805;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Feminino;2;2;CURITIBA;4106902;4106902;151;17
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 35 a 39 anos;9;9;Feminino;2;2;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 40 a 44 anos;10;10;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 40 a 44 anos;10;10;Masculino;1;1;CURITIBA;4106902;4106902;292;23
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 40 a 44 anos;10;10;Masculino;1;1;FAZENDA RIO GRANDE;4107652;4107652;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 40 a 44 anos;10;10;Feminino;2;2;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 40 a 44 anos;10;10;Feminino;2;2;CURITIBA;4106902;4106902;194;14
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 45 a 49 anos;11;11;Masculino;1;1;CURITIBA;4106902;4106902;66;7
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 45 a 49 anos;11;11;Feminino;2;2;CAMPO LARGO;4104204;4104204;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 45 a 49 anos;11;11;Feminino;2;2;CURITIBA;4106902;4106902;68;7
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 50 a 54 anos;12;12;Masculino;1;1;ARAUCÁRIA;4101804;4101804;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 50 a 54 anos;12;12;Masculino;1;1;CURITIBA;4106902;4106902;96;8
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 50 a 54 anos;12;12;Feminino;2;2;CURITIBA;4106902;4106902;109;8
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 50 a 54 anos;12;12;Feminino;2;2;PINHAIS;4119152;4119152;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 55 a 59 anos;13;13;Masculino;1;1;CAMPO LARGO;4104204;4104204;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 55 a 59 anos;13;13;Masculino;1;1;CURITIBA;4106902;4106902;68;7
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 55 a 59 anos;13;13;Masculino;1;1;SÃO JOSÉ DOS PINHAIS;4125506;4125506;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 55 a 59 anos;13;13;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 60 a 64 anos;14;14;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 60 a 64 anos;14;14;Feminino;2;2;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 65 a 69 anos;15;15;Masculino;1;1;CURITIBA;4106902;4106902;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 65 a 69 anos;15;15;Feminino;2;2;COLOMBO;4105805;4105805;X;X
9031;Grande região;2;Região Nordeste;2;2010;8030;31/07/2010;De 70 a 74 anos;16;16;Masculino;1;1;COLOMBO;4105805;4105805;X;X
