Código do Nível Geográfico;Nível Geográfico;Código do Item Geográfico;Item Geográfico;Ordem Geográfica;Código do Item Temporal;Nível Temporal;Item Temporal;Residência em 31/07/2005, UF, município ou país estrangeiro;Residência em 31/07/2005, UF, município ou país estrangeiro (código);Residência em 31/07/2005, UF, município ou país estrangeiro (ordem);Idade calculada, anos, classe;Idade calculada, anos, classe (código);Idade calculada, anos, classe (ordem);Sexo;Sexo (código);Sexo (ordem);Frequência;Observações
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 40 a 44 anos;10;10;Feminino;2;2;291;14
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Masculino;1;1;219;10
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 45 a 49 anos;11;11;Feminino;2;2;266;11
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Masculino;1;1;168;7
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 50 a 54 anos;12;12;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 55 a 59 anos;13;13;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 55 a 59 anos;13;13;Feminino;2;2;111;6
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 60 a 64 anos;14;14;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 65 a 69 anos;15;15;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 70 a 74 anos;16;16;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 70 a 74 anos;16;16;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 75 a 79 anos;17;17;Feminino;2;2;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Masculino;1;1;X;X
9235;Município (2010);4106902;CURITIBA;14;2010;8030;31/07/2010;País estrangeiro;2;2;De 80 a 84 anos;18;18;Feminino;2;2;X;X
9235;Município (2010);4107652;FAZENDA RIO GRANDE;15;2010;8030;31/07/2010;País estrangeiro;2;2;De 5 a 9 anos;2;2;Feminino;2;2;X;X
